Anomaly,Count
Other Untrained Procedure,1
Other Attitude,1
Other Overweight Takeoff,1
Other Lack Of De-Icing Knowledge,1
Other LAHSO Procedure,1
Other Misread Instr,1
Other Search and Rescue Initiated,1
Other Fuel Sys Mgmnt,1
Other Hearback Readback,1
Other DAMAGED GEAR DOOR,1
Other Fleet Commonality,1
Other Passed ILS Hold Short Line,1
Other sign problem-snow,1
Other Incomplete Aircraft De-icing,1
Other ctlr work load,1
Other misread chart,1
Other Landed On Taxiway. Improper Airport Snow Removal.,1
Other Took Too Long To Begin Takeoff Roll,1
Other Assigned Runway,1
Other CRM -- Coord,1
Other Appropriate Com/Phraseology,1
Other Miscommunication,1
Other Cargo Door Open,1
Other Improper Dispatch,1
Other fmc. programming,1
Other clearance confusion,1
Other lack of intrafacility coordination,1
Other acft inspection/preflt,1
Other ATC Supervisor and Ctlr Don't Agree,1
Other TRM Dep Freqs Currency -- Too Long To Receive Airborne IMC Clrnc,1
Other flew apch to wrong rwy,1
Other wrong switch activation,1
Other schedule pressure,1
Other Controller Attitude,1
Other Lost Gas Cap,1
Other CRM. CREW OVERLOAD,1
Other SLIDE MALFUNCTION,1
Other Illegal Maintenance Ferry,1
Other PREFLIGHT INSPECTION,1
Other BELOW MIN ALT.,1
Other PRESS PROB,1
Other Worn Tailskid,1
Other com proc,1
Other zero fule wt error,1
Other flc fatigue,1
Other Tkof Below Minimums,1
Other Inspection Procedures,1
Other Tail Skid Damage,1
Other Inadequate Fuel Load,1
Other PERCEIVED TOWER STAFFING,1
Other Missing Arpt Signage,1
Other NAV INSTRUMENT FAILURE,1
Other Loss of Cowling,1
Other NAV.PROB,1
Other Near Gear-Up Landing,1
Other Vast Missing No Notams -- Pubs Wrong Commercial and Government,1
Other Fuel Starvation Fuel Management,1
Other Air Force One Traffic Conflict Problem,1
Other Engine Fire In Combustor With No Engine RPM,1
Other PDC Clarity,1
PDC Protocol,1
Other Opened Pressurized Acft.,1
Other Misplaced Paperwork,1
Other Skid Press,1
Other Late Handoff,1
Other Cargo Restraint,1
Other TCAS II SENSING,1
Other NO HANDOFF,1
Other NOISE VIOLATION,1
Other SAFETY SUGGEST.,1
Other Familiarity with Airport,1
Other LOSS OF COM FREQ.,1
Other EMERGENCY,1
Other LAX COMPANY PAPERWORK ON WEIGHT MANAFEST,1
Other ATC TWR-GND CTL,1
Other Apch Use Before Effective Date,1
Other HAZ MAT LOADING,1
Other VOR SYSTEM MALFUNCTION.,1
Other GND TESTS,1
Other SIMILARITY OF AIRWAYS,1
Other LIFE GUARD ACFT NOT GIVEN PRIORITY,1
Other READ BACK/ HEARBACK,1
Other COORD ACFT DESIGN,1
Other CALL SIGN CONFUSION,1
Other AIRLINE POLICY,1
Other LOW POWER STATE,1
Other RT MAIN DEAR WILL NOT RETRACT,1
Other SO DID NOT DO WALK AROUND INSPECTION,1
Other UNFAMILIAR W/AIRPORT,1
Other Co. S.O.P,1
Other Taxiway Signage,1
Other Airport Security Enforcement,1
Other Visibility,1
Other Intermittent Com Radio,1
Other The Crew Didn't Inquire and the Controller Didn't Tell Which Runway To Land On.,1
Other Oil Leak,1
Other Hold Short Marking,1
Other Kit Design,1
Other Landing On Wrong Rwy,1
Other Similar Flt Call Signs,1
Other Disp Coord,1
Other CKPT Brief,1
Other Fuel Loading Company Paperwork,1
Other Excessive Runway Changes,1
Other ATC RwyChanges,1
Other Incorrect Trans Code,1
Other M.E.L - Understanding,1
Other Traffic Not Controlled By FO Tower,1
Other Bad Fuel Truck Gauges,1
Other Eng Cowling Lost in Flight,1
Other FLC/ GND Coord,1
Other REFUELING PROC,1
Other Fake Bomb,1
Other Heavy Jet Dep Spacing,1
Other Flap Prob,1
Other DID NOT DO LNDG CHECK LIST.-LANDED GEAR UP,1
Other Poor Signage / Markings,1
Other TAKE OFF WARNING,1
Other PILOT PUSHING,1
Other LOSS OF PACK DOOR,1
Other A System Hydraulic Failure,1
Other 988,1
Other Sch. Pressure,1
Other Reply to Wrong Call Sign,1
Other MISTUNED NAV RADIOS,1
Other REQUIRED ACFT EQUIPMENT,1
Other WRONG CTAF FREQ UTILIZED,1
Other LOSS OF POWER,1
Other UNPRESSURIZED FLT. - OVER WGT LNDING,1
Other LOADING DOCUMENTATION,1
Other restricted txwy,1
Other non standard arpt markings,1
Other LAHSO Operations In Rain and Low Visibility,1
Other Hold Short Line Visibility and Location,1
Other STRAP OUTSIDE DOOR,1
Other EXCEEDED MONTHLY FLT TIME (30 DAYS),1
Other PART TIME ATCT,1
Other DEP ROUTING,1
Other DCSTR,1
Other Takeoff Aborted,1
Other UNSAFE WIRING,1
Other FLC BEHAVCOR,1
Other OUTPATED CHARTS,1
Other CARGO DOOR WARNING. DOOR NOT PROPERLY CLOSED.,1
Other MISSET QNH,1
Other com. problem,1
Other emergency,1
Other clrnc. disputed,1
"Other LOSS OF ""A"" HYDRAULICS",1
Other RAN OUT OF FUEL,1
Other Flc Attitude,1
Other ENRONTE WX,1
Other NAVPROB,1
Other FLC WORK SKDS,1
Other ATC FAC PROBS.,1
Other WRONG SID,1
Other EMERGENCY DUE TO WX.,1
Other CLIMB LIMITED PERF. WTS,1
Other RWY MARKINGS,1
Other FUELING RPOC,1
Other CL RNC / INTERP,1
Other Selcal Checks,1
Other Airspace and Automation Configuration Change Problems,1
Other COORDINATION PRDO. ATC,1
Other TKOF DATA NOT AVAIL,1
Other RADIO IDENTIFICATION,1
Other UNKU NOISE IN CARGO AREA,1
Other PRESURIZATION PROB,1
Other Lndg Gear Did Not Retract,1
Other ALRWORTHINESS,1
Other Ctlr Action,1
Other RWY SFC CONDITION,1
Other WINDSHIELD HEAT FAILED,1
Other SKIN REPAIR LIMITS,1
Other FIRE WARNING,1
Other PLT  / FLT PLANNING,1
Other ACT SETTING PROC,1
Other FLAP LIMIT EXCEEDED,1
Other Taxiway Markings,1
Other Clrnc Interp Amnd Multiple Clrnc Changes,1
Other RADIO EQUIP OPERATION,1
Other Fuel Divert,1
Other INSPECTION OVER DUE,1
Other EMERGENCY EXIT LIGHTS,1
Other Crew Flt Time Exceeded,1
Other Arpt Chart or Markig Prob,1
Other Rwy Lights Not Available,1
Other Preflt,1
Other Sky Divers In Clouds,1
Other Eq Op Proc,1
Other Steep Turns,1
Other Inop Nav Facility,1
Other FO TRAINING,1
Other ACCIDENTALLY RAN ENGINE OUT OF FUEL.,1
Other NO LIGHTS(EMER),1
Other CAPT DISCRETION,1
Other NOTAMS NOT AVAILABLE/ACCURATE,1
Other GENOT COMPLIANCE CTRL TRNG REQUREMENT,1
Other FUEL TRUCK PARKING,1
Other SMOKE FROM ENGINE,1
Other DISTR/EQUIP PROB,1
Other MINIMUM FUOL,1
Other OVER ROTATION,1
Other Wrong Way Traffic Pattern Entry,1
Other Lack Of ATC Instructions,1
Other Atc Handling Operror,1
Other Plt and Ctl Technique Com,1
Other Unapproved GPS navigation,1
Other Blast Damage,1
Equipment Overturned,1
Other WRONG RWY T/G,1
Other Loss Of Atc Com,1
Other FLC QUAL.,1
Other FREQ CHG,1
Other Downward landing Limits Exceeded,1
Other Fac Staffing/Proc,1
Other ACFT SPEED,1
Other NON USABLE NAVAID,1
Other READBACK- HEARBACK,1
Other APU START PROC,1
Other Arpt Marking Signage,1
Other MNTNC TROUBLE SHOOTING,1
Other POSSIBLE LOST COM / OFF FREQ,1
Other LOCK ATC HAND OFF,1
Other ACFT BRAKES,1
Other AIR QUALITY BAD,1
Other SECURITY ISSUCS,1
Other SIMILAR CALL,1
Other Lack Of Intrafac,1
Other CHART PRESENTETION,1
Other INCORRECT TILOF CONFIGN WARNING,1
Other High Alt Arpt,1
Other Labor Management Prob,1
Other CAPT'S EMERG DUTL/ HF FREQ PROB,1
Other FUEL MONAGEMENT PROB.,1
Other JAMBED RT ELIVATOR,1
Other CHECK LIST USE / DESIGN,1
Other MISSED APCH,1
Other No Clrnc Confirm,1
Other WT & BAL,1
Other Taxiway Marking,1
Other GPS ANOMALY,1
Other PERCEPTUAL INCUSION,1
Other NEW FO,1
Other Maint Discrepancy,1
Other Lahso Procs,1
Other Arpt Prob Phraseology,1
Other FMS PROB,1
Other TMU DIRECTED WX REROUTE,1
Other PREMATURE FREQ CHANGE,1
Other CREW QUAL RECORDS,1
Other ETOPS RELEASE,1
Other Cockpit Mgmnt Clr,1
Other ATC DISTR,1
Other DIJ PATCH ERROR,1
Other Erroneous Act Readout,1
Other Planning and Fatigue,1
Other FUEL EXH.,1
Other Long Landing,1
Other Reply to Wrong Callsign,1
Other Unauth Freq Change,1
Other Wrong Numbers,1
Other DUAL INFLT ENG SHUT DOWN,1
Other HEARBACK,1
Other Twr Tracon Inter FAc Coord,1
Other Search Issue,1
Other Clrnc Prob,1
Other WENT OFF RWY END,1
Other TKOF W/O CIRNC,1
Other EXPIRED TEMP. PLTS LICENSE,1
Other Takeoff Warning,1
Other FLT TIME ADJISTMENT,1
Other FMC OPERETION,1
Other ATC Staffing,1
Other TRANSP CODE,1
Other Comp Attitude,1
Other OFF ATC FREQUENCY,1
Other STEALING LIQUOR,1
Other Atc Handling and Similar Call Signs,1
Other Company Attitude,1
Other CTLR READ BACK-HEARBACK,1
CONFUSION.,1
Other CREW CONCEPT.,1
Other FALSE EGPWS WARNING,1
Other INEXPERIENCED PLT.,1
Other LOST SIGHT OF RWYS,1
Other APU INOP-,1
Other D.C. BUS RESET HANDLE,1
Other EXCEEDED CLRNE LIMIT,1
Other CARGO NET NOT FASTENENED,1
Other CTLR ALTITUDE,1
Other Plt. Qualification,1
Other Language Barrier CTLR Confusion,1
Other Phraseology/ Notam/ Interp,1
Other FMS Operations,1
Other SIGN LIGHTING,1
Other WRONG RWY LNDG.,1
Other FUEL STARUATION,1
DUTY TIME,1
CREW REST.,1
Other GND CREW DID NOT FOLLOW ESTABLISHED PROCEDURES.,1
Other CRES TRAINING,1
Other LANDED AFTER TWR DIRECTED GO AROUND,1
Other COCKPIT DISTRACTION SOCIALLIZING,1
Other HYDRAVLIE SYSTEM CHECK LISTS,1
Other INTXN TKOF DATA,1
Other CHILD SEAT NEAR EXIT R,1
Other ATC SWITCHED ILS RWYS DURING APCH.,1
Other WORK SHEDULING,1
Other DELAY IN IDENTIFYING ACFT.,1
Other ARPT / SECURITY ISSUES,1
Other PLT WORK SCHEDULING,1
Other CELL PHONE IN FLIGHT,1
Other HARASSMENT,1
Other WRONG DERECTION TKOF,1
Other clrnc disputed,1
Other RIGHT ENGINE NO TKOF POWER,1
Other FUELING PROC,1
Other NOSE GEAR DOOR DEPARTED,1
Other Far Legal Fuel,1
Other Private Plt Giving Flt Instruction,1
Other Interpersonal Relationship,1
Other Work Scheduling,1
Other FUEL MNGMNT,1
Other Capt and FO Seat Swaping,1
Other SWITCH  LIGHT FAILURE,1
Other FMC Operating Protocol,1
Other Affected VOR Reception,1
Other COCKPIT PAPERWORK MISPLACED,1
Other PLT FATIGUE NAV RADIO OPERATION,1
Other CTLR COM TECHNIGUE,1
Other SINGLE PIT OPERATION,1
Other PLT PROFILIENCY,1
Other SPECIAL AVIATION ACTIVITY FLY BY,1
Other LEFT FUEL QTY INOP,1
Other UNPRESS FLT.,1
Other CTLR TRAFFIC ASSIGN MENT,1
Other #1 Cowl Departed,1
Other NOVICE PLT,1
Other PAX NOT SEATED WHEN ACFT MOVED,1
Other CTLR,1
LAST MINUTE RWY CHANGE.,1
Other HYDRAULIC LEAK,1
Other FUEL CROSS FEED OPERATION,1
Other FO OVERCONFIDENCE,1
Other Cklist Use,1
Other Radio Tuning/ ID,1
Other Complacency Freq. Comg,1
Other unable to contact twr,1
Other MIsread Chart,1
Other SPOILED CREW MEALS,1
Other FLC DISTR / V LISTS,1
Other CTLR TECHNIQUE/ ATC,1
Other NAV AID TUNING.,1
Other Taxi proc,1
Other PEDESTRIAN TRAFFIC ON ARPT RWY.,1
Other DID NOT FOLLOW GPWS WARNING,1
Other ILS.DISAGREE,1
Other WRONG RWY LANDING,1
Other ARTCC/ARTCC INTER FAC COORD.,1
Other ATC.HANDING,1
Other ATC.HANDLING,1
Other FLC DEV,1
Other DCA NOISE ABATEMENT,1
Other CONFUSION CLRNC,1
Other Security Prob.,1
Other FLC FAM.,1
Other BAD MAP,1
Other PAX OXYGEN BOTTLE,1
Other FALSE FIRE WNG.,1
Other FLC BEHAVIOR,1
Other UNUSABLE FUEL NOT ACCOUNTED FOR,1
Other FUEL + FEEDING,1
Other NATL. REC. AREA MIN. ALT.,1
Other WRONG RELEASE TRANS CODE,1
Other COMPANY SOP,1
Other CTLR TERMONOLOGY,1
Other FUEL EXHAVSTION FROM ONE FUEL TANK930,1
Other STERILE COOKPIT PROCEDURES,1
Other QVERWATER W/O EQUIPMENT,1
Other PLT/CTLR TECHNIQUE,1
Other CRITICAL FUEL STATE,1
Other FLC WORK LOAD,1
Other COCKPIT SOP,1
Other PARACHUTE JUMP ACTIVITY,1
Other VISUAL APCH PROCEDURE / SPACING,1
Other CREW INTORFERENCE BY HGMT.,1
Other CRNC / INTERP.,1
Other CTLR BEHAVIOR / CLRNC. ITERP,1
Other COCPIT DISTRACTION,1
Other LOADING PROC,1
CRM NON EXISTANT,1
Other ATC HANDLING NO HANDOFF,1
Other LNDG / CLOSED RWY,1
Other TOOKOFF BELOW TKOF MINIMUMS.,1
Other CREW DUTY LIMITATIONS,1
Other WRONG PDC + TXPNDR CODE,1
Other REPORTED BELOW MINIMUM,1
Other FAM W/ DEP PROY CHART,1
Other TXWY LIGHTING,1
Other FLT MANUAL PROC REVISION PROB,1
Other RADIO MEL'ED,1
Other PLT HAD DEV FROM DEPTARTORE CLRNC,1
WORKLOAD MGMNT,1
Other forgot to turn packs on,1
Other Lighting Balance,1
Other Ctlr Tech And Behavior,1
Other FLC WORKLOAD,1
Other ARMED PAX AND PRISONER,1
Other cockpit procedure,1
Other GND CREW ALTITUDE,1
Other NOSE WHEEL STEERING BY PASS LEFT INSTALLED,1
Other FUELING IRREGULARITY,1
Other PUBLICATION ERROR,1
Other LOADED WRONG FLT PLAN,1
Other NOSE STRUT SERVICE,1
Other D.WIND TKOFS,1
Other WRONG ACFT NO ON RELEASE,1
Other TOWER'S VIEW OBSTRUCTED,1
Other ENGINE IGNITER IN,1
Other ROUTE ASSIGMENT,1
Other LAST MINUTE REROUTE,1
Other BEHAVIOR,1
Other FIRE WARNING BELL ACTIVATED,1
Other DOOR WARNING SYS DESIGN,1
Other UNAUTH/UNCOORD TAXI OP,1
Other USED WRONG CALL SIGN,1
Other CREW DUTY LEGALITIES,1
Other DEPART CLSD RWY,1
Other CREW COORD / CONECPT,1
Other BROKEN RIVET HEAD,1
Other CLRNC READ BACK REPLY WRONG CALLSIGN,1
Other OVERHEAT WARNING,1
Other MNTNC  ATTITUDE,1
Other PLT DISCROTION,1
Other anti-skid inop,1
Other DID NOT GET FINAL WEIGHT MANAFEST,1
Other CENTER TANK FUEL BELOW 1000 LBS.,1
Other NOT SURE OF DRNC,1
Other TEMP REPAIR,1
Other NOT ADVISED OF LAHSO OPS,1
Other GROUND HANDLING,1
Other WRONG WEIGHT AND BAL COMPUTATION,1
Other OTBD Aileron Ind.,1
Other #2 ENGINE PROB,1
Other COCKPIT PROC TUNEING & IDENTIFYING VOR,1
Other HIGH OIL TEMP. LOW OIL QUANTITY,1
Other #2 ENGINE OVER TEMP,1
Other DUTY TIME,1
Other Notam Not Published,1
Other FUEL LOAD PROB,1
Other ILS SIGNAL PROB,1
Other WRONG CALL SIGN USED,1
Other APU FIRE WARNING STERILE COCKPIT,1
Other FILED IFR WITHOUT PROPER CHARTS,1
Other COMMERCIAL RADIO OPERATOR RADIO PROCEDURES.,1
Other Hold Short Markings On Rwy.,1
Other Plt Act Rwy Lites,1
Other STATIC  DISCHG,1
Other CRNC/READ BACK EXPECTED,1
Other CREW DUTY/REST,1
Other INOP FUEL GAGES,1
Other DUCT WARNING,1
Other #1 AIRSPEEDING INDP,1
Other BLOCKED FREQUENCY. READBACK HEARBACK,1
Other PLT / CTLR TECHNIQUE,1
Other GW. CALC. ERROR,1
Other FUEL CONSUMPTION QUANTITY,1
Other TAXI ROUTE EXPECTED / CLEARED,1
Other CHRONIC FLAP FAILURE,1
Other ALTITUDE CHG PROTOCOL + COMPANY SOP. CAPT CRM,1
8 IN 24 EXCEEDANCE,1
Other ACFT STATUS/ CONFIGN,1
Other NOT IFR CURRENT,1
Other GEARPINS LEFT INSTALLED,1
Other CREW CONCEPT- TXWY DISORRENTATION,1
Other CTLR BRIEFING OF NEW CTLR.,1
Other POSSIABLE RADIO FAILURE - CLOSED ARPT,1
Other SINGLE PLT OPS.,1
Other ARMED PAX BOARDED BEFORE COMPANY PAPERWORK GIVEN TO CAPT.,1
Other LOST COM FREQ.,1
Other FLC TECH FLYING / EQ UP PROCS,1
Other ENG LOSS - CARB ICE,1
Other PLANNING - FLC / ATC,1
Other NAVAID PROB,1
Other WRONG ACFT #,1
Other DOG LOOSE IN COCKPIT,1
Other FREQUENCY CONJESTION - CTLR ATTITUDE,1
Other ARPT SINSGE - MARKINGS ARPT CONSTRUCTION,1
Other tkof aboart,1
Other COCKPIT WORK LOAD MGMNT. ARPT LIGHTING,1
Other MNTNR LOG PROB,1
Other CREW O2 SHUT OFF,1
Other RAMP MARKING /SAFETY ZONE,1
Other CREW CRM,1
Other CREW CONCEPT - CRM,1
Other FLT SPOILER ACTUATOR FAILURE,1
Other NOR ACFT,1
Other SKYDIVING THRU CLOUDS,1
Other ATC CLRNC,1
Other FLC WORK SCHED,1
Other CREW CONCEPT READBACK-HEARBACK,1
Other CREW MISSED OPEN LOG ITEM,1
Other ATIS WX BDCST PROB.,1
Other LOSS OF ENGINE OIL,1
Other AUTO FEATHER,1
Other LOSS OF AIR CORD,1
Other LOSS OF ENG,1
Other FAA INSPECTOR HANDLING,1
Other NON COMPLICANCE WITH AD,1
Other INSUFFICIENT FUEL,1
Other ACFT LEFT UNATIENDED WITH ENGINE RUNNING,1
Other IMPROPER CTLR EXPECTATION CTLR HANDLING,1
Other INSPECTION AUTHORITY,1
Other TURNED HDG BVG WRONG DIRECTIONS,1
Other CLRNC/INTERD,1
Other AIRSPEED IND. INOP,1
Other CLRNC/REQ,1
Other ESCAPE SLIDE FAILURE,1
Other RWY ASSIGNMENT,1
Other PREFLT PROC,1
Other ATC AHNDLING,1
Other TCAS NOT FOLLOWED,1
Other TIRE SPEED RATING,1
Other SIMILAR / WRONG FREQ,1
Other AUTO FLIGHT OPS.,1
Other SCH. PRESS,1
Other WRONG RWY APCH.,1
Other HAZMAT DOCUMENTATION NOT COMPLETE PRIOR TO FLT,1
Other VISUAL INTERF.,1
Other OVER WEIGHT,1
Other FLC DISTR /  DISORIENTATION,1
Other EXCESSIVE DEFERRED ITEMS,1
Other LANDING SHORT OF RWY THRESHOLD,1
Other FREQ CHG / MISSED / LATE,1
Other FLC DISTR / RESUTIL / CLRNC INT.,1
Other DISORIENTATION / CKPT COORD.,1
Other ARPT MARKINGS UNCHARTED TXWY.,1
Other DOOR UNLATCHED,1
Other NOTAM NOT ISSUED,1
Other ARPT MARKING-ARPT CONSTRUCTION LIGHTING,1
Other MNTNC DISCREPANCY,1
Other RWY LIGHT PLT ACTIVATION,1
Other NO ADVISORIES,1
Other FALSE WARNING NUISANCE WARNINGS/IGNORED,1
Other FLT DELAY,1
Other LOST WITH OUT GPS.,1
Other ATC MINIMUM VECTORING ALTITUDE ERROR,1
Other OUT OF DATE COMMERCIAL CHARTS,1
Other DID NOT FOLLOW SID,1
Other JOB CARD ERROR,1
Other LOSS RADIO COM.,1
Other ACFT PERFORMANCE IN HIGH TEMPERATURES,1
Other CTLR MISSPOKE ALTITUDE. READBACK,1
Other RAMP CHECK,1
Other FLEET INCONIST,1
Other ENGINE OIL LEAK RESTRICTED VISABILITY,1
Other GEAR UP LANDING.,1
Other LOSS OF COMM WITH ATC,1
Other Loss of Prop. Control Loss of Engine Oil,1
Other MEL POORLY WRITTEN,1
Other EXCESSIVE  RUBBER ON RUNWAY,1
Other Ground Looped,1
Other CLRNC / INTERP / ATC TERMINOLOGY,1
Other PAX DOOR WARNING LIGHT,1
CONFUSED CTLR,1
Other Unclosed IFR Plan,1
Other GPS + FMC PROGRAMMING ACFT OPERATION,1
Other LIFE PART OVERDUE,1
Other Exceeded 30 degree bank,1
Other OPEN LOG ITEMS,1
Other GVAC. BOMB SUSPECTED,1
Other TAIL CONE NOT SECURED PROPERLY,1
Other MISREAD DME.COCKPIT COORD,1
Other RUDDER BALANCE,1
Other OPEN LOG ITEM,1
Other ON APCH CTL,1
Other FLC TECH,1
Other CREW ACCESS PROBLEM,1
Other UNADEQUATE FUEL/SKD PRESS.,1
Other AUDITORY INTERFERENCE,1
Other ATC  HANDLING,1
Other RT ENGINE OVERHEAT,1
Other Txwy Marking,1
Other UNAIRWORTHY ACFT,1
Other ACFT SPACING CTLR COMMENTS.,1
Other SFL WINDS,1
Other NO FLAP TKOF,1
Other FMC ASYMPTOTIC CAPTURE MODE,1
Other TOW BAR NOT REMOVED,1
Other GOT WRONG CLRNC FROM PRINTER,1
Other OFF ARPT LDNG,1
Other FLC INFOR,1
Other LOSS OF OIL,1
Other FADED HOLD LINE MARKINGS.,1
Other CTLR  ATTITUDE,1
Other CREW OVERLOAD,1
Other CLRNC/INTEP,1
Other SECTOR OVERLOAD,1
Other EXIT PLACARD,1
AIR LEAK,1
Other F/A EXP LEVEL,1
Other Open Log Item,1
Other ACFT CONGIGN,1
Other ROUTE/SID CHG,1
Other ENGINE QUIT,1
Other LB3 CONTAINERS NOT SECURED ON DOLLIES,1
Other ALMOST HAD RWY INCURSION,1
Other SCHEDULE PRESSURE,1
Other CLEARANCE BLOCKED,1
Other FUEL TANK A.D.,1
Other LOAD PLANNER DEVIATION,1
Other FORGOT TO EXTEND FLAPS FOR TKOF,1
Other REPLY TO ANOTHER ACFT CLNC,1
Other NON COMPLIANCE PROC MANUAL,1
Other NO REGISTR,1
Other ENGINE COWLING DEPARTED,1
Other LANDED CLOSED RWY/ARPT,1
Other WRONG DIR TURN,1
Other CKPT COORD,1
Other FLAP CONTROL FAILURE,1
Other IGNORED CLRNE VOID TIME,1
Other ALTIMETER ERROR,1
Other CTLR DISTR,1
Other CREW REST REQ.,1
Other NRP REROUTES,1
Other OUTDATED ARPT CHARTS,1
Other RAMPER INJURED,1
Other DELAY AVOIDANCE TECHNIQUE,1
Other FREQ CHG/WRONG/PREMATURE,1
Other FAILURE TO CLOSE FLIGHT PLAN,1
Other CDL,1
CLARITY,1
Other LOW OIL PRESS. WARNING,1
Other COMPONENT REMOVED WITHOUT LOG ENTRY,1
Other WRONG ACFT FLOWN,1
Other SEE AMD AVOID CONCEPT,1
Other RAMP LIGHTING / CONGESTION,1
Other CTLR COORD.,1
Other BURNED WT & BAL BALEST FUEL,1
Other DID NOT DO ACFT WALK AROUND,1
Other PROF LEVEL,1
Other WAYPT PROB,1
Other POOR RADIO RECEP.,1
Other ATC COM EQUIPMENT,1
Other TKOF CONFIGURATION WARNING,1
Other IMPROPER MEL DEFERRAL,1
Other TKOF ABOART,1
Other FMC OPERATION. NO RAW DATA DISPLAYED,1
Other CREW COORD-CONCEPT. CRM,1
Other ATIS / WX REPORT FREQ CHG / GATE MISSED,1
Other ILLEGAL / UNAUTH WX REPORT,1
Other RESOURCE UTIL/PLANNING,1
Other ANTI SKID,1
Other STUDENT NIGHT FLT NO TRAINING,1
Other DUPLICATE FLT NUMBERS,1
Other NOTAM CONFUSIONAL/FORMAT,1
Other EXCEEDED 30 IN 7 DAYS,1
Other INAPPROPRIATE ATC INSTRUCTIONS,1
Other NOTAMS NOT READ,1
Other OVERWEIGHT TAKEOFF,1
Other NOTAM CLARITY,1
Other CTLR VERBAL CLARITY,1
Other FERRY PERMIT PROB.,1
Other UNABLE TO PRESSURIZE,1
Other NO RWY ID,1
Other ARPT MARKINGS CONSTRUCTION,1
Other TEMPORARY LOST COM,1
Other ACFT DEPARTED WITHOUT DISPATCH RELEASE,1
Other NOSE GEAR STEERING LINKS,1
Other ATC CLRNC / PHRASEOLOGY,1
Other COMPANY PAPERWORK,1
Other CREW NAV SOP,1
Other CREW FMC SOP,1
Other NEW CAPT VERY LOW TIME. INEXPERIENCED IOE CHK AIRMAN,1
Other USED CLOSED PORTION OF RWY FOR TKOF. ARPT MARKINGS,1
Other CRM / INERPERSONAL RELATIONSHIP,1
Other TKOF BELOW MINIMUM VISABILITY,1
Other RAN OUT OF GAS,1
Other FAR INTERPRETATION,1
Other COCKPIT DISTRACTION. CHECKLIST USE,1
Other GND CREW PUT ACFT WHEEL CHAWKS IN WHEEL WELL,1
Other UNAUTHORIZED JUMP SEAT RIDERS,1
Other CREW COORD. FATIGUE,1
Other PLT OVERLOAD AT LARGE ARPT,1
Other READBACK - HEARBACK. CTLR MISSPOKE CLREDALTITUDE,1
Other SMOKE GOGGLES MISSING,1
Other CLRNC CONFIRM,1
Other TAXI ON CLOSED RWY / LIGHTING,1
Other DIPLOMATIC CLRNC,1
Other DELAYED START OF DSCNT,1
Other Fuel Management,1
Other Refused clearance,1
Other CREW UNABLE TO ASCERTAIN IF LNDG MADE WITOUT LNDG CLRNC,1
Other ARTCC RADAR AND RADIO FAILURE,1
Other UNABLE TO SEE RIVER. COCKPIT COORD.,1
Other MORE SEPARATION NEEDED IN CASE OF WAKE TURBULENCE,1
Other ACFT EQ DESIGN PROB,1
Other PRESSURE LEAK AT DOOR,1
Other UNSECURED FUEL TANKCAP,1
Other ACR mntnc. policy,1
Other ARPT LIGHTING,1
Other NO WARNING LETTERS ON BOARD,1
Other EXCESSIVE ATIS INFO,1
Other USED REVERSE HIGH SPEED TURNOFF,1
Other CONTAMINATED DEICING FLUID,1
Other Ctlr Attitude/ Technique,1
Other RADIO VOLUME DOWN,1
Other Controller Situational Awareness,1
Other Coupled Approach Unable To Stay On Localizer,1
Other ATC Tries To Waive A FAR,1
Other Flight Crew Behavior,1
Other Broken Cockpit Window,1
Other Communication Problem Distraction,1
Other INSTRUMENT SCAN PROFICIENCY,1
Other FALSE GLIDE SLOPE,1
Other ACFT POSITION / PITCH,1
Other SHATTERED PAX WINDOW,1
Other UNREASONABLE ATC EXPECTATION AND CLRNC,1
Other COM PROB,1
Other ACFT LIMITS,1
Other CREW CONCEPT. CRM,1
Other Log Book,1
Other Clrnc / Interp,1
Other ATC Coord,1
Other FMC V-nav Exceeded Max Speed For Acft.,1
Other DECLARED MIN FUEL,1
Other Extended flaps above limit speed,1
Other long landing,1
Other Did Not Advise ATC Of Speed Change.,1
Other Aerobatics In Traffic Pattern Jet Blast on Taxi Out. Plt Incapacitation,1
Other Did Not Slow To 250k At 10000 ft.,1
Other Exceeded 250kts Below 10000 ft,1
Other Trailing Edge Flaps Malfunc.,1
Other FLC TECH/FLYING/COM,1
Other MED EMER,1
Other CKAIR PERCEPTION,1
Other FMS FAILURE,1
Other CREW CONCEPT CRM DISTRACTION,1
Other Company Op Procs,1
Other Visual Interface,1
Other ACFT SLOWED TO ALPHA FLOOR SPEED PROTECTION SPEED AT FL 350,1
Other ATC COM TECH,1
Other CTLR FAM W/ACFT PERF,1
Other PARTIAL PROBLEM,1
CRM. FORGOT TO RETRACT FLAPS CHECK LIST USE.,1
Other HIGH ALT LOW SPEED BUFFET,1
Other AS ABV 250 KTS BELOW 10000 FT WITHIN 12 NM OF SHORELINE,1
Other GOT STICKSHAKER WARNING. CREW DID NOT REALIZE FLAPS WERE NOT EXTENDED,1
Other BAD WRITE UP,1
Other CREW ACCEPTED DSCNT ALT WHEN THEY WERE UNABLE TO COMPLY,1
Other INCORRECT WT CALCULATION,1
Other EQ Design False Alarm,1
Other CRM BRIEFING EXP LEVEL,1
Other NON OCMPLIANCE WITH AD,1
